time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/n_updates,train/std,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
2048,-84.5881122,1,200.3,1296,1,,,,,,,,,,,
4096,-86.57082104999998,3,202.65,1061,2,10,0.9991713762283325,146.4834747314453,0.0003,0.0071553257,0.046875,0.0014020800590515137,0.2,268.1323042392731,-5.67387126237154,-0.008556752813456114
6144,-89.06697549999998,6,192.53333333333333,1023,3,20,1.0061511993408203,80.63638305664062,0.0003,0.006773184,0.05751953125,0.004901587963104248,0.2,221.76927463710308,-5.681617225706577,-0.008584074646933004
8192,-86.74346115,8,204.425,1005,4,30,1.0110819339752197,117.26171875,0.0003,0.008461137,0.04990234375,0.2390652894973755,0.2,208.07397245764733,-5.7070690333843235,-0.009380743064684793
10240,-86.40549404081632,10,207.18367346938774,996,5,40,1.0125412940979004,31.697017669677734,0.0003,0.011057638,0.100634765625,0.3299795985221863,0.2,134.36591096818447,-5.721936352550983,-0.012724420332233422
12288,-85.46712484210526,12,211.91228070175438,986,6,50,1.0143507719039917,74.84551239013672,0.0003,0.008238103,0.04658203125,0.39821380376815796,0.2,134.61964371800423,-5.7276232317090034,-0.007220948202302679
14336,-85.70595332352941,14,207.01470588235293,979,7,60,1.0154533386230469,53.25643539428711,0.0003,0.008144646,0.081689453125,0.5858827829360962,0.2,94.45333614647389,-5.729386813938618,-0.009096295991912483
16384,-84.9852068026316,16,210.56578947368422,976,8,70,1.0095309019088745,39.447872161865234,0.0003,0.008455661,0.0642578125,0.6457778811454773,0.2,125.1867757409811,-5.722430717945099,-0.008957333603757434
18432,-84.23117989411764,18,215.63529411764705,973,9,80,1.007292628288269,31.514448165893555,0.0003,0.008318989,0.067529296875,0.7419429421424866,0.2,64.6953743994236,-5.703304679691792,-0.009781618483248166
20480,-82.6723378021978,21,225.0,971,10,90,1.0014342069625854,20.06167221069336,0.0003,0.0075014806,0.033447265625,0.7004703283309937,0.2,79.77926518321037,-5.691329468786717,-0.00977112950058654
22528,-82.07805118556699,23,229.22680412371133,968,11,100,0.9931864142417908,9.086481094360352,0.0003,0.0113097895,0.090380859375,0.7497929930686951,0.2,29.03426086977124,-5.664769627153873,-0.008452472451608628
24576,-80.61060747999998,25,237.35,968,12,110,0.992206871509552,7.301345348358154,0.0003,0.0077618966,0.062890625,0.6202903985977173,0.2,47.28318626359105,-5.642782184481621,-0.00869293435534928
26624,-78.35851611999999,27,249.96,966,13,120,0.9824116826057434,1.2154332399368286,0.0003,0.017734148,0.135009765625,0.22763276100158691,0.2,17.47228788305074,-5.611840189993382,-0.006182259206252638
28672,-75.90308233,29,263.16,966,14,130,0.9736954569816589,2.4557902812957764,0.0003,0.010267016,0.120166015625,0.8299505710601807,0.2,9.133598148962482,-5.583684146404266,-0.010333709738915786
30720,-74.20221532,31,271.06,964,15,140,0.9560434222221375,0.09894470870494843,0.0003,0.009581026,0.128466796875,0.005729973316192627,0.2,0.44661608515307305,-5.515921345353126,-0.009262744689476677
32768,-71.66300731,33,283.52,964,16,150,0.9558770060539246,1.2586129903793335,0.0003,0.007944098,0.08505859375,0.49544674158096313,0.2,12.280651600006967,-5.4922532245516775,-0.0037251782254315914
34816,-69.87013158,36,291.41,962,17,160,0.9553776979446411,5.412570953369141,0.0003,0.0033405968,0.00966796875,0.8131659626960754,0.2,15.315730138123035,-5.491078460216523,-0.0037477335485164077
36864,-66.75705767,38,308.12,962,18,170,0.9276086688041687,0.07817693054676056,0.0003,0.010761011,0.11318359375,-1.6867103576660156,0.2,0.14914637055480853,-5.412171211838722,-0.010435209301067516
38912,-64.95995549000001,40,316.89,961,19,180,0.9172860383987427,0.07480186223983765,0.0003,0.010547301,0.118017578125,0.2802377939224243,0.2,0.23306478471495212,-5.344534024596214,-0.010870624058588874
40960,-63.205662490000016,42,325.27,961,20,190,0.9035952091217041,0.018112489953637123,0.0003,0.009237957,0.117529296875,0.37078332901000977,0.2,0.08070101907942444,-5.290137819945812,-0.01099762619996909
43008,-61.260833129999995,44,334.15,960,21,200,0.9010420441627502,0.7963084578514099,0.0003,0.009710457,0.0615234375,0.8274192810058594,0.2,6.305588115518913,-5.261662386357784,-0.0048571057384833695
45056,-58.80563121,46,347.1,960,22,210,0.8888425827026367,0.01872890442609787,0.0003,0.010481834,0.149658203125,-0.2021634578704834,0.2,0.12407919174293056,-5.227474923431873,-0.012458038433396722
47104,-56.03225420999999,49,358.32,960,23,220,0.8759291768074036,0.010369021445512772,0.0003,0.0077057006,0.11279296875,0.5335409641265869,0.2,0.08484276336384937,-5.167251129448414,-0.011456738325068726
49152,-53.501838700000015,51,371.76,959,24,230,0.8682599067687988,0.04446954280138016,0.0003,0.011496831,0.11044921875,0.6588889360427856,0.2,0.13322748318314553,-5.122887922823429,-0.011725091491825879
51200,-51.691156250000006,53,380.35,959,25,240,0.8682317137718201,1.466446042060852,0.0003,0.0061912783,0.073291015625,0.8255921602249146,0.2,4.448820031667128,-5.106812630593777,-0.005605683228350244
